is_bomb_planted,losing_streak_defender,losing_streak_attacker,balance_attacker,health_attacker,has_helmet_attacker,duck_amount_attacker,flash_duration_attacker,armor_value_attacker,current_equip_value_attacker,X_attacker,pitch_attacker,yaw_attacker,Y_attacker,Z_attacker,velocity_attacker,tick,steamid_attacker,name_attacker,balance_defender,health_defender,has_helmet_defender,duck_amount_defender,flash_duration_defender,armor_value_defender,current_equip_value_defender,X_defender,pitch_defender,yaw_defender,Y_defender,Z_defender,velocity_defender,steamid_defender,name_defender,attacker_won,crosshair_alignment_attacker,crosshair_alignment_defender
False,1,1,150,80,False,0.0,0.0,93,850,-1942.0314,12.3819275,134.11044,1762.245,32.309048,57.48068,5540,76561198155962995,mhN,150,100,False,0.0,0.0,100,1250,-2041.7871,-5.8255005,-63.980255,1888.3505,-0.03125,160.16643,76561198028816052,welniko,False,0.99500215,0.97283566
False,1,1,150,49,False,1.0,0.0,91,850,-2088.062,25.850143,105.77466,1911.1455,57.960056,108.578415,5641,76561198062114681,Blytz,450,100,False,0.0,0.0,100,1250,-2057.0952,-14.537659,-109.61712,1980.5867,0.9223957,154.22433,76561198028816052,welniko,False,0.81465906,0.9226549
False,1,1,100,68,False,0.0,0.0,0,1100,498.2649,25.124023,-0.34640503,2155.1316,96.10715,115.69766,6086,76561198175704447,fNk,150,66,False,0.0,0.0,92,850,825.2444,-22.184479,-175.60443,2161.5977,-38.604614,17.072355,76561198246325048,swiiffter#,True,0.99858034,0.998606
False,0,2,50,100,True,0.0,0.0,100,2000,-211.96948,1.016571,19.011154,1281.9474,0.32705712,225.80469,11585,76561198155962995,mhN,200,100,True,0.0,0.0,100,3250,192.72859,0.1980896,-159.36493,1436.7067,-0.46551514,166.11372,76561198076636836,GEOHYPE;;,True,0.9993145,0.999973
False,0,2,50,88,True,0.65601605,0.0,96,3300,-139.02814,10.807465,-177.72137,1437.6985,-0.36206055,7.1071296,11775,76561198098463229,regali,2100,50,True,0.0,0.0,93,3150,-954.9323,-3.8455505,0.8074951,1389.072,-111.96875,63.361763,76561198333158396,awks,True,0.99841017,0.9966285
False,0,2,350,7,True,0.0,0.0,73,3800,219.5194,-6.517639,70.984375,1382.601,0.00943017,162.48221,12594,76561198098463229,regali,50,56,True,0.16057897,0.0,94,3550,515.91016,8.102753,-108.9085,2266.4385,127.04201,6.2716436,76561198246325048,swiiffter#,False,0.9997309,0.9999617
False,0,2,400,42,False,0.10026519,0.0,0,3900,543.5887,8.139832,-111.122246,2353.2336,127.07362,56.829258,13875,76561198315433485,dan7,1250,56,True,0.7474351,0.0,94,3300,280.33398,-5.6438904,68.36484,1673.8485,40.55885,10.117255,76561198246325048,swiiffter#,False,0.9997143,0.9997753
False,0,3,2050,57,False,0.0,0.0,0,700,383.37558,7.730942,6.91864,2032.6143,95.78688,16.695297,18958,76561198155962995,mhN,1350,100,True,0.0,0.0,100,3250,968.83215,-11.226654,-176.65947,2084.3645,-9.236938,101.14091,76561198076636836,GEOHYPE;;,False,0.9986046,0.99938697
False,0,3,800,100,False,1.0,0.0,0,1900,283.89975,3.9760132,-12.015259,2277.1333,98.48966,78.20207,19083,76561198175704447,fNk,2500,57,True,0.0,0.0,97,3000,1329.0337,-0.37628174,-160.81375,2639.1821,97.447464,14.080067,76561198333158396,awks,False,0.8540728,0.99998325
False,0,3,2100,32,False,0.39358598,0.0,0,700,688.67145,0.91290283,8.893768,764.8773,0.55567646,4.3387256,19258,76561198315433485,dan7,1100,63,True,1.0,0.0,93,5400,1521.7164,0.89401245,-169.53621,936.0242,-7.645752,37.998135,76561198246325048,swiiffter#,False,0.9988572,0.99948144
False,0,3,2750,100,False,0.90041155,0.0,0,200,415.2557,-8.1401825,80.4989,1654.7599,36.237816,24.245905,20197,76561198098463229,regali,1950,56,True,0.0,0.0,76,3250,540.9922,8.098297,-99.59896,2376.5366,127.10778,72.3655,76561198076636836,GEOHYPE;;,False,0.99980396,0.99982715
False,0,3,2050,100,False,0.0,0.0,0,700,362.22263,0.74261475,67.40283,1739.8037,93.44146,190.78261,20982,76561198062114681,Blytz,2550,56,True,0.0,0.0,76,3250,587.121,-0.96987915,-107.47925,2369.3757,67.03125,72.67929,76561198076636836,GEOHYPE;;,False,0.99833393,0.99902344
